"","1.BC31","1.BC39","1.BC47","1.CR3","2.BC10","2.BC11","2.BC27","2.BC2","2.BC30","2.BC35","2.BC36","2.BC38","2.BC3","2.BC41","2.BC4","2.BC59","2.BC5","2.BC6","2.BC7","2.BC8","2.BC93","2.BC9","2.CR12","2.CR15","3.BC12","3.BC50","3.BC55","3.BC58","3.BC62","3.BC74","3.BC75","3.BC77","3.BC80","3.BC82","3.BC83","3.BC84","3.BC86","3.CR1","3.CR4","3.CR5","3.CR8"
"hsa-miR-6751-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0.290256870692545,0,0,0,0,0,0,0,0,0,0,0,0.99304212658956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6751-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259437680330624,0,0,0.258013256583175,0,0.402880823638659,0,0,0,0,0,0.569186476118226,0
"hsa-miR-6752-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66636302322314,0,0,0,0,0,0,0,0,0.134293607879553,0,0,0,0,0,0,0
"hsa-miR-6753-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837938967016833,2.72235304863604,0,0,0,0,0,0,0,0,0,0,0,0.0648594200826561,0,0.248534538468959,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6754-3p",0,0,0,0,1.26074974688726,2.67542625568078,0,0,0,0,0,0,0,0.290256870692545,0,0.167587793403367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6754-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167587793403367,0,0,0,0,0,0,0,0,0,0,0,0,0.259437680330624,0.11293918471919,0.994138153875836,0,0,0,0.429600794729066,0,0,0,0,0,0.497811929918714
"hsa-miR-6755-3p",0,0,0,0,2.52149949377452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6755-5p",0,0,4.38451884828028,0,0,0,0,0,0,0.211742730057845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6756-3p",0,0,2.19225942414014,0,0,0,0,0,0,0,0,0,0,0.290256870692545,0,0,0,0,0,0,0,0,0,0,0,0,0.239560270194503,0,0,0,0,0,0,0,0.773281430512319,0,0,0,10.0414489997686,1.13837295223645,0
"hsa-miR-6756-5p",0,0.800673710312716,0,0,0,2.67542625568078,0,0.225492054301455,0,0,0,2.48501219978925,0,0,0,0,0,0,0.638996108978952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665981366910857,0,0,0,0,0,2.00828979995372,0,0
